Price in Rupees,Company,series,color,Full HD,HD,ScreenSize(in cm),FWVGA,Other Displays,RAM,ROM,Expandable,Battery(in mAh),Brand,Model,Main_Camera_MP,Front_Camera_MP,Main_Camera_Count,Front_Camera_Count
7999.0,Redmi,8,Onyx Black,0,1,15.8,0,0,4.0,64.0,512.0,5000.0,Qualcomm,439,2,8,3,1
9999.0,Redmi,Note,Sapphire Blue,1,1,16.0,0,0,4.0,64.0,256.0,4000.0,Qualcomm,AIE,8,3,3,1
6999.0,Redmi,8A,Ocean Blue,0,1,15.8,0,0,3.0,32.0,512.0,5000.0,Qualcomm,439,2,8,2,1
10999.0,Redmi,Note,Neptune Blue,1,1,16.0,0,0,4.0,64.0,256.0,4000.0,Qualcomm,675,8,3,3,1
7999.0,Redmi,8,Sapphire Blue,0,1,15.8,0,0,4.0,64.0,512.0,5000.0,Qualcomm,439,2,8,3,1
9999.0,Realme,3i,Diamond Blue,0,1,15.8,0,0,4.0,64.0,256.0,4230.0,MediaTek,GHz,3,3,3,1
9999.0,Realme,3i,Diamond Black,0,1,15.8,0,0,4.0,64.0,256.0,4230.0,MediaTek,GHz,3,3,3,1
7999.0,Realme,3i,Diamond Blue,0,1,15.8,0,0,3.0,32.0,256.0,4230.0,MediaTek,GHz,3,3,3,1
9999.0,Realme,3i,Diamond Red,0,1,15.8,0,0,4.0,64.0,256.0,4230.0,MediaTek,GHz,3,3,3,1
7999.0,Realme,3i,Diamond Black,0,1,15.8,0,0,3.0,32.0,256.0,4230.0,MediaTek,GHz,3,3,3,1
7999.0,Redmi,8,Ruby Red,0,1,15.8,0,0,4.0,64.0,512.0,5000.0,Qualcomm,439,2,8,3,1
5499.0,Redmi,7A,Matte Blue,0,1,13.84,0,0,2.0,32.0,256.0,4000.0,Qualcomm,439,2,5,2,1
6999.0,Redmi,8A,Midnight Black,0,1,15.8,0,0,3.0,32.0,512.0,5000.0,Qualcomm,439,2,8,2,1
10799.0,Mi,A2,Red,1,1,15.21,0,0,3.0,32.0,128.0,3010.0,Qualcomm,AIE,0,0,3,1
9999.0,Realme,5s,Crystal Blue,0,1,16.51,0,0,4.0,64.0,256.0,5000.0,Qualcomm,665,8,3,5,1
10999.0,Realme,5s,Crystal Blue,0,1,16.51,0,0,4.0,128.0,256.0,5000.0,Qualcomm,665,8,3,5,1
9999.0,Realme,5s,Crystal Red,0,1,16.51,0,0,4.0,64.0,256.0,5000.0,Qualcomm,665,8,3,5,1
10999.0,Realme,5s,Crystal Purple,0,1,16.51,0,0,4.0,128.0,256.0,5000.0,Qualcomm,665,8,3,5,1
10999.0,Realme,5s,Crystal Red,0,1,16.51,0,0,4.0,128.0,256.0,5000.0,Qualcomm,665,8,3,5,1
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
9999.0,Realme,5s,Crystal Purple,0,1,16.51,0,0,4.0,64.0,256.0,5000.0,Qualcomm,665,8,3,5,1
6499.0,Redmi,8A,Ocean Blue,0,1,15.8,0,0,2.0,32.0,512.0,5000.0,Qualcomm,439,2,8,2,1
10999.0,Redmi,Note,Space Black,1,1,16.0,0,0,4.0,64.0,256.0,4000.0,Qualcomm,675,8,3,3,1
16999.0,Realme,5,Crystal Green,1,1,16.0,0,0,8.0,128.0,256.0,4035.0,Qualcomm,GHz,8,6,5,1
14999.0,Realme,5,Crystal Green,1,1,16.0,0,0,6.0,64.0,256.0,4035.0,Qualcomm,GHz,8,6,5,1
7499.0,Realme,C2,Diamond Black,0,1,15.49,0,0,3.0,32.0,256.0,4000.0,MediaTek,GHz,3,5,3,1
9999.0,Realme,3,Lightning Purple,1,1,16.0,0,0,4.0,64.0,256.0,4045.0,Qualcomm,AIE,6,5,3,1
12999.0,Realme,3,Nitro Blue,1,1,16.0,0,0,6.0,128.0,256.0,4045.0,Qualcomm,AIE,6,5,3,1
10799.0,Mi,A2,Red,1,1,15.21,0,0,3.0,32.0,128.0,3010.0,Qualcomm,AIE,0,0,3,1
11999.0,Realme,3,Lightning Purple,1,1,16.0,0,0,6.0,64.0,256.0,4045.0,Qualcomm,AIE,6,5,3,1
12999.0,Realme,3,Lightning Purple,1,1,16.0,0,0,6.0,128.0,256.0,4045.0,Qualcomm,AIE,6,5,3,1
7999.0,Infinix,S5,Quetzal Cyan,0,1,16.76,0,0,4.0,64.0,256.0,4000.0,MTK,MTK,6,6,3,1
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
7999.0,Infinix,S5,Violet,0,1,16.76,0,0,4.0,64.0,256.0,4000.0,MTK,MTK,6,6,3,1
18999.0,Realme,XT,Pearl Blue,0,0,16.26,0,1,8.0,128.0,256.0,4000.0,Qualcomm,712,4,6,5,1
15999.0,Realme,XT,Pearl White,0,0,16.26,0,1,4.0,64.0,256.0,4000.0,Qualcomm,712,4,6,5,1
16999.0,Realme,XT,Pearl White,0,0,16.26,0,1,6.0,64.0,256.0,4000.0,Qualcomm,712,4,6,5,1
9999.0,Realme,3,Nitro Blue,1,1,16.0,0,0,4.0,64.0,256.0,4045.0,Qualcomm,AIE,6,5,3,1
6499.0,Redmi,8A,Sunset Red,0,1,15.8,0,0,2.0,32.0,512.0,5000.0,Qualcomm,439,2,8,2,1
9999.0,Realme,5,Crystal Blue,0,1,16.51,0,0,4.0,64.0,256.0,3050.0,Qualcomm,GHz,2,3,5,1
8999.0,Realme,5,Crystal Blue,0,1,16.51,0,0,3.0,32.0,256.0,3050.0,Qualcomm,GHz,2,3,5,1
4999.0,Kult,Impulse,Blue,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
9999.0,Realme,5,Crystal Purple,0,1,16.51,0,0,4.0,64.0,256.0,3050.0,Qualcomm,GHz,2,3,5,1
10999.0,Realme,5,Crystal Blue,0,1,16.51,0,0,4.0,128.0,256.0,3050.0,Qualcomm,GHz,2,3,5,1
10999.0,Realme,5,Crystal Purple,0,1,16.51,0,0,4.0,128.0,256.0,3050.0,Qualcomm,GHz,2,3,4,1
8999.0,Realme,5,Crystal Purple,0,1,16.51,0,0,3.0,32.0,256.0,3050.0,Qualcomm,GHz,2,3,4,1
27999.0,Apple,iPhone,Rose Gold,0,1,11.94,0,0,3.0,32.0,128.0,3050.0,Apple,Apple,2,7,2,1
10799.0,Mi,A2,Red,1,1,15.21,0,0,3.0,32.0,128.0,3010.0,Qualcomm,AIE,0,0,3,1
15990.0,OPPO,F11,Thunder Black,1,1,16.51,0,0,6.0,64.0,256.0,4000.0,MediaTek,GHz,8,6,3,1
27999.0,Apple,iPhone,Gold,0,1,11.94,0,0,3.0,32.0,128.0,3050.0,Apple,Apple,2,7,2,1
17990.0,Vivo,Z1x,Phantom Purple,1,1,16.21,0,0,3.0,32.0,128.0,4500.0,Qualcomm,AIE,8,2,4,1
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
17990.0,Vivo,Z1x,Fusion Blue,1,1,16.21,0,0,3.0,32.0,128.0,4500.0,Qualcomm,AIE,8,2,4,1
10999.0,Redmi,Note,Astro Moonlight White,1,1,16.0,0,0,4.0,64.0,256.0,4000.0,Qualcomm,675,8,3,3,1
5299.0,Redmi,7A,Matte Black,0,1,13.84,0,0,2.0,16.0,256.0,4000.0,Qualcomm,439,2,5,2,1
10999.0,Honor,20i,Midnight Black,1,1,15.77,0,0,4.0,128.0,512.0,3400.0,HiSilicon,710,4,2,4,1
15990.0,OPPO,F11,Aurora Green,1,1,16.51,0,0,6.0,64.0,256.0,4000.0,MediaTek,GHz,8,6,3,1
8999.0,Redmi,Note,Astro Moonlight White,1,1,16.0,0,0,3.0,32.0,256.0,4000.0,Qualcomm,AIE,8,3,3,1
